y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
654.35,0.97,0.58115766,1.863586845,2.98E+00,-0.67,-0.478935216,19.54523088,22.83606578
660.46,0.96,0.578991306,1.854560371,2.96E+00,-0.67,-0.476241526,19.56039703,22.84697667
666.59,0.96,0.576829703,1.845562401,2.95E+00,-0.66,-0.473553062,19.57545406,22.85766935
672.74,0.95,0.574672851,1.836597687,2.93E+00,-0.66,-0.470862222,19.59040199,22.86836203
678.92,0.95,0.572520749,1.82767098,2.91E+00,-0.66,-0.468171858,19.6052408,22.87883648
685.12,0.95,0.570373398,1.818772776,2.90E+00,-0.65,-0.465481018,19.61997051,22.88931094
691.34,0.94,0.568235549,1.809907829,2.88E+00,-0.65,-0.462789704,19.63459111,22.8997854
697.59,0.94,0.5660977,1.801080887,2.86E+00,-0.65,-0.460098864,19.64908078,22.91004164
703.86,0.94,0.563964602,1.79228245,2.85E+00,-0.64,-0.45740755,19.66348316,22.92029788
710.14,0.93,0.561836254,1.78352202,2.83E+00,-0.64,-0.45471576,19.67777643,22.93055412
716.45,0.93,0.559717408,1.774794844,2.82E+00,-0.64,-0.452024446,19.69196059,22.94059215
722.79,0.93,0.557603313,1.766100924,2.80E+00,-0.63,-0.449332656,19.70603565,22.95063017
729.14,0.92,0.555493969,1.757445011,2.78E+00,-0.63,-0.446640391,19.72000159,22.96044997
735.52,0.92,0.553389375,1.748822353,2.77E+00,-0.63,-0.443948127,19.73385843,22.97026978
741.91,0.92,0.551289532,1.74023295,2.75E+00,-0.62,-0.441256337,19.74762798,22.97987137
748.33,0.91,0.549199191,1.731681553,2.73E+00,-0.62,-0.438563597,19.7612666,22.98969117
754.77,0.91,0.5471136,1.723168163,2.72E+00,-0.62,-0.435871333,19.77481793,22.99929276
761.23,0.91,0.54503276,1.714688028,2.70E+00,-0.62,-0.433178593,19.78826015,23.00867613
767.71,0.9,0.542961422,1.706241149,2.68E+00,-0.61,-0.430485853,19.80159326,23.0180595
774.22,0.9,0.540894834,1.697832275,2.67E+00,-0.61,-0.427793114,19.81481727,23.02744287
780.74,0.89,0.538832998,1.689461408,2.65E+00,-0.61,-0.425099424,19.82795398,23.03660802
787.28,0.89,0.536780662,1.681123797,2.64E+00,-0.6,-0.422406209,19.84098159,23.04577317
793.85,0.89,0.534733078,1.672828942,2.62E+00,-0.6,-0.419712519,19.85392191,23.05493832
800.43,0.88,0.532690244,1.664567343,2.60E+00,-0.6,-0.417018354,19.86675312,23.06388525
807.04,0.88,0.530656912,1.65634375,2.59E+00,-0.59,-0.414324189,19.87947523,23.07283219
813.66,0.88,0.528633082,1.648158163,2.57E+00,-0.59,-0.411630024,19.89211004,23.08177912
820.31,0.87,0.526614002,1.640010582,2.56E+00,-0.59,-0.408935384,19.90463575,23.09050784
826.98,0.87,0.524604424,1.631901008,2.54E+00,-0.58,-0.406240744,19.91705235,23.09923655
833.66,0.86,0.522599596,1.62382944,2.53E+00,-0.58,-0.403546104,19.92940348,23.10796527
840.37,0.86,0.520604271,1.615795878,2.51E+00,-0.58,-0.400851464,19.94162368,23.11647577
847.09,0.86,0.518613696,1.607805073,2.49E+00,-0.57,-0.398156348,19.9537566,23.12498626
