y/delta,y^+,U,dU/dy,W,P,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k
0.0315731653876619,62.98077305288735,15.35185298183375,0.0366750461416679,0.0045726502658275,-1.173239008911471,2000,5.207922519831662,1.173239008911471,2.374920533518042,-0.931299823395512,0.0066852299314144,-0.0006222369847609,4.378041031130588
0.0326100124546501,65.04903035350158,15.42640105268398,0.0354315141073613,0.0045547510258896,-1.181157305157272,2000,5.161802832654154,1.181157305157272,2.36626486221245,-0.9314901380803212,0.0065756456744706,-0.0006043626977753,4.354612500011938
0.0336633461331044,67.15017442750107,15.49961566611785,0.0342754559073148,0.0045396585706216,-1.188282818244879,2000,5.11896521843261,1.188282818244879,2.35712079493134,-0.9315735988569548,0.0064682422271149,-0.0005830613791869,4.332184415804415
0.0347331484717298,69.28416946642564,15.57159253125528,0.0331967901218706,0.0045276303098604,-1.194671773516736,2000,5.079150084291568,1.194671773516736,2.347551330004362,-0.931562584465165,0.006370638149967,-0.0005585983531427,4.310686593906333
0.0358194012385666,71.45097910195732,15.64241455405833,0.0321862958599917,0.0045187297088736,-1.200378008760961,2000,5.042129118230507,1.200378008760961,2.33761278971256,-0.9314685594182188,0.0062876419790382,-0.0005312022852694,4.290059958352014
0.0369220859213004,73.65056640653874,15.71215350989238,0.0312366823648975,0.0045125371403389,-1.205452925861658,2000,5.007698289631775,1.205452925861658,2.327353262024799,-0.9313027132469786,0.0062230227806305,-0.0005032496743298,4.270252238759116
0.0380411837275785,75.8828938940048,15.78087399920277,0.030342922412664,0.004508395326974,-1.209945425860801,2000,4.97564929641432,1.209945425860801,2.316817310501812,-0.931073414092249,0.0061738062396998,-0.0004774297800033,4.251206016388466
0.0391766755853298,78.14792352021966,15.84863622307889,0.0295007522684348,0.0045059551180583,-1.213901762022957,2000,4.94577028744337,1.213901762022957,2.306047327175209,-0.9307854955213044,0.0061281033386432,-0.0004539670048104,4.232859688320768
0.0403285421430897,80.44561668372602,15.91549591690747,0.028705892214346,0.0045051889764355,-1.217365372557965,2000,4.917859183017114,1.217365372557965,2.295082323945063,-0.930441908233516,0.0060768581407441,-0.0004317742957081,4.215153439760071
0.04149676377033,82.77593422640253,15.98150366674828,0.0279539144510305,0.0045058388918399,-1.220376811504557,2000,4.891733525125971,1.220376811504557,2.283960603793554,-0.9300446885468164,0.0060177505037836,-0.0004096454399792,4.198035470212041
0.0426813205577935,85.13883643413128,16.04670387023367,0.027240319192546,0.0045072004899221,-1.222973835518652,2000,4.867237642254103,1.222973835518652,2.272716064377065,-0.9295964773520136,0.0059530888830686,-0.0003859518890172,4.18146377107491
0.0438821923178331,87.53428303747489,16.11113485202543,0.0265612218905316,0.0045085093646405,-1.225191558960549,2000,4.844237934651528,1.225191558960549,2.261378224114876,-0.9291004529199526,0.0058868705343558,-0.0003597023232768,4.165403858863477
0.0450993585847564,89.96223321236232,16.17482977638257,0.0259131955987661,0.004509291043178,-1.227062554382346,2000,4.822608357019941,1.227062554382346,2.249977513756956,-0.928559034979784,0.0058220957123296,-0.0003318687918032,4.149824212579622
0.0463327986151738,92.42264558078512,16.2378171564777,0.0252933653227841,0.0045095882623211,-1.228616985207911,2000,4.80222122049668,1.228616985207911,2.238541753081026,-0.9279745061128096,0.0057594759318149,-0.0003034911056396,4.134689979392808
0.0475824913883524,94.91547821150245,16.30012292642602,0.0247002219123699,0.0045100465556833,-1.229882696903318,2000,4.782943750737014,1.229882696903318,2.227095359399752,-0.9273476924487296,0.0056973758333082,-0.0002737082964327,4.119960903520042
0.0488484156065741,97.44068862075494,16.36177275449782,0.0241325611664293,0.0045116578319644,-1.230885173170467,2000,4.76465280552986,1.230885173170467,2.215654507123706,-0.9266772283744044,0.0056326538258363,-0.0002401385476854,4.105596242912016
0.0501305496954987,99.99823377299006,16.42279078898427,0.0235884782179884,0.0045154202765077,-1.231647622022705,2000,4.747246321939054,1.231647622022705,2.204226795823634,-0.925963616406708,0.0055659676544763,-0.0002022981794638,4.091560369892695
0.0514288718045317,102.5880700815948,16.4831995570946,0.0230669868020855,0.004521968560155,-1.232191236446204,2000,4.730631121458019,1.232191236446204,2.192818525584304,-0.9252087735868904,0.0055013166573201,-0.0001641292152405,4.077820441744263
0.0527433598071958,105.2101534096377,16.5430219608455,0.0225671448281557,0.0045313885406362,-1.232535488694636,2000,4.714717297494299,1.232535488694636,2.18144114913946,-0.9244128101872048,0.0054454557375719,-0.0001314383400109,4.064346967664197
0.0540739913015093,107.8644390706229,16.60227853233284,0.0220865524117584,0.0045434952702501,-1.232698373085236,2000,4.699423580235457,1.232698373085236,2.170114239581879,-0.9235761676299244,0.0054030317076568,-0.0001073355005445,4.051118096451287
0.0554207436103672,110.5508818292503,16.66098528646238,0.0216230223979171,0.0045580010178432,-1.232696524856014,2000,4.68467961994643,1.232696524856014,2.158855981546482,-0.9227004189328242,0.005368999374175,-9.325387957949826e-05,4.038116063174463
